법정동,단지명,주소,세대수,준공연도,브랜드,건축유형,역세권,노선,전용면적,평형,2025.03,거래일,2024.01~03,2022.01~03,2025.05_추정_실거래가,2025.05_보정_추정실거래가,20250521호가,기준단지_평단가,보정_평단가,유사단지,대지지분,추정가,추천 태그,리포트 링크
잠원동,강변,잠원로 166-17,360.0,1987.0,90년대형,리모델링,N,3,84.53,30.0,28.43,2025.03,20.6,24,28.43,28.43,29.5,0.33633029693599903,,,,,,
잠원동,강변,잠원로 166-18,360.0,1987.0,90년대형,리모델링,N,3,66.29,27.0,24.9,2025.03,16.4,-,24.9,24.9,25,0.37562226580178,,,,,,
잠원동,금호베스트빌,나루터로 46,117.0,2002.0,90년대형,기축,Y,"3, 신분당선",140.36,50.0,29.5,2024.07,26.6,-,32.71616541353384,32.71616541353384,50,0.23308752788211623,,,,,,
잠원동,금호베스트빌,나루터로 47,117.0,2002.0,90년대형,기축,Y,"3, 신분당선",84.97,30.0,21,2024.06,-,-,28.43,28.43,30,0.0,,,,,,
잠원동,노블레스,신반포로 287,19.0,2000.0,나홀로,기축,Y,7,195.65,60.0,-,-,-,-,0.0,0.0,-,0.0,,,,,,
잠원동,노블레스,신반포로 288,19.0,2000.0,나홀로,기축,Y,7,152.78,49.0,21.3,2025.02,-,-,21.3,21.3,35,0.1394161539468517,,,,,,
잠원동,노블레스,신반포로 289,19.0,2000.0,나홀로,기축,Y,7,152.01,49.0,23,2024.1,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,노블레스,신반포로 290,19.0,2000.0,나홀로,기축,Y,7,135.27,44.0,15,2018.09,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,대주피오레,강남대로95길 56,49.0,2002.0,90년대형,기축,N,"3, 신분당선",126.69,46.0,16,2025.01,-,-,28.43,28.43,17,0.0,,,,,,
잠원동,대주피오레,강남대로95길 57,49.0,2002.0,90년대형,기축,N,"3, 신분당선",125.48,45.0,17.6,2025.01,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,대주피오레,강남대로95길 58,49.0,2002.0,90년대형,기축,N,"3, 신분당선",123.08,44.0,14,2024.01,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,대주피오레,강남대로95길 59,49.0,2002.0,90년대형,기축,N,"3, 신분당선",121.83,43.0,14.5,2020.06,-,-,28.43,24.9,16.5,0.0,,,,,,
잠원동,대주피오레,강남대로95길 60,49.0,2002.0,90년대형,기축,N,"3, 신분당선",117.93,42.0,4.8,2006.02,-,-,28.43,32.71616541353384,-,0.0,,,,,,
잠원동,대주피오레,강남대로95길 61,49.0,2002.0,90년대형,기축,N,"3, 신분당선",84.98,31.0,15,2025.03,10,-,15.0,15.0,-,0.1765121204989409,,,,,,
잠원동,데뜨아르,잠원로 46-4,22.0,2008.0,나홀로,기축,Y,"3,7,9",84.99,33.0,20.6,2025.02,-,18.7,20.6,20.6,-,0.2423814566419579,,,,,,
잠원동,데뜨아르,잠원로 46-5,22.0,2008.0,나홀로,기축,Y,"3,7,9",84.94,33.0,19,2024.08,17.7,19,19.04774011299435,19.04774011299435,-,0.22424935381439076,,,,,,
